分类,指数名称,指数代码,收盘日期,PE(TTM),PE5 年分位,PE10 年分位,PB(LF),PB5 年分位,PB10 年分位,股息率,估值评级
A 股宽基,上证指数,000001.SH,2026-04-17,17.12,79.86%,94.21%,1.51,54.82%,49.67%,2.36%,偏高
A 股宽基,沪深 300,000300.SH,2026-04-17,14.25,71.05%,87.64%,1.46,43.19%,41.28%,2.75%,偏高
A 股宽基,上证 50,000016.SH,2026-04-17,10.08,27.49%,44.03%,1.09,19.84%,23.72%,3.48%,偏低
A 股宽基,中证 500,000905.SH,2026-04-17,34.91,81.76%,86.69%,2.40,80.11%,73.71%,1.24%,极高
A 股宽基,创业板指,399006.SZ,2026-04-17,39.53,73.82%,81.05%,5.31,83.64%,77.69%,0.75%,偏高
A 股宽基,科创 50,000688.SH,2026-04-17,159.80,93.12%,96.58%,5.82,98.17%,98.56%,0.30%,极高
A 股行业,中证银行,399986.SZ,2026-04-17,6.83,7.61%,11.51%,0.65,4.81%,5.88%,5.23%,极低
A 股行业,中证白酒,399997.SZ,2026-04-17,18.57,12.54%,15.43%,3.28,19.76%,22.67%,3.59%,偏低
A 股行业,中证医药,000991.SH,2026-04-17,18.08,24.81%,29.97%,2.59,33.52%,36.76%,1.84%,偏低
A 股行业,中证消费,000932.SH,2026-04-17,20.49,15.58%,18.84%,3.29,24.01%,27.09%,2.69%,偏低
港股宽基,恒生指数,HSI.HI,2026-04-17,12.58,83.27%,81.21%,1.27,85.73%,57.99%,2.93%,极高
港股宽基,恒生科技,HSTECH.HI,2026-04-17,22.03,23.28%,32.65%,2.60,32.87%,67.57%,0.93%,偏低
港股宽基,国企指数,HSCEI.HI,2026-04-17,9.47,9.05%,14.50%,0.78,6.91%,10.41%,3.99%,极低
美股宽基,标普 500,SPX,2026-04-17,28.56,86.39%,74.05%,5.57,96.83%,90.68%,1.54%,极高
美股宽基,纳指 100,NDX,2026-04-17,36.27,80.87%,82.48%,10.01,98.77%,98.10%,0.74%,极高
美股宽基,道琼斯,DJIA,2026-04-17,25.81,99.56%,99.08%,7.33,99.51%,98.87%,1.95%,极高